row_id,embedding_seperated,embedding_model_name,sentence_embedding_method,feature_engenearing,grading_model,dataset_name,dataset_split,seed_data_split,left_out_dataset,shots,epochs,finished_pred,last_pred_index,time_stamp,rmse,pears_correlation,p_value,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted
174,True,embed_words_conceptnet,avg,cosine_similarity,Isotonic Regression,english,validation,42,,0,0,True,539,2023-05-31 12:02:33,0.6723530889917176,0.4642432535970472,3.228334091911892e-30,0.4592592592592592,0.5762791286727457,0.4840512303424508,0.4612983705560766,0.4592592592592592,0.4592592592592592,0.4592592592592592,0.5966682145671507,0.4592592592592592,0.4585750771236898
175,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,english,validation,42,,0,0,True,539,2023-05-31 12:02:33,0.6725447480604613,0.4479880353823522,5.150581612829289e-28,0.3851851851851852,0.4746133644587103,0.3124052035106655,0.2550798302635846,0.3851851851851852,0.3851851851851852,0.3851851851851852,0.6557965610781484,0.3851851851851852,0.3389053423541587
176,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,english,validation,42,,0,0,True,539,2023-05-31 12:02:33,0.6710746610508656,0.4479880353823521,5.1505816128295805e-28,0.3833333333333333,0.472467297195558,0.3109346152753714,0.2525428281068525,0.3833333333333333,0.3833333333333333,0.3833333333333333,0.6531167436964539,0.3833333333333333,0.3357358261281025
177,True,embed_words_conceptnet,avg,cosine_similarity,Isotonic Regression,science,validation,42,,0,0,True,686,2023-05-31 12:02:33,1.6938006796751914,0.4105987718024173,2.534744737102176e-29,0.3056768558951965,0.3337641394245167,0.2282517619516938,0.2040288121047971,0.3056768558951965,0.3056768558951965,0.3056768558951965,0.3800866541659158,0.3056768558951965,0.2709895976741157
178,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,science,validation,42,,0,0,True,686,2023-05-31 12:02:33,1.6711937483233863,0.4073320367191064,7.666810643114326e-29,0.3056768558951965,0.1672090439799312,0.2216672748602914,0.1841097510411989,0.3056768558951965,0.3056768558951965,0.3056768558951965,0.2224191260799558,0.3056768558951965,0.2524550292354435
179,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,science,validation,42,,0,0,True,686,2023-05-31 12:02:33,1.6714289937354412,0.4070570205847616,8.410841744773907e-29,0.3056768558951965,0.1672090439799312,0.2216672748602914,0.1841097510411989,0.3056768558951965,0.3056768558951965,0.3056768558951965,0.2224191260799558,0.3056768558951965,0.2524550292354435
180,True,embed_words_conceptnet,avg,cosine_similarity,Isotonic Regression,beetle,validation,42,,0,0,True,661,2023-05-31 12:02:33,0.4523009989660276,0.41946742499235,1.3503717687722137e-29,0.6812688821752266,0.6883748286765737,0.661333555161195,0.6596069257106651,0.6812688821752266,0.6812688821752266,0.6812688821752266,0.6863523669800365,0.6812688821752266,0.6692056369584349
181,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,beetle,validation,42,,0,0,True,661,2023-05-31 12:02:33,0.45603043817062,0.4056173609349048,1.3139608614621472e-27,0.6888217522658611,0.6865357643758765,0.6770186335403727,0.678249544643784,0.6888217522658611,0.6888217522658611,0.6888217522658611,0.6875548192183997,0.6888217522658611,0.6847690726773982
182,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,beetle,validation,42,,0,0,True,661,2023-05-31 12:02:33,0.4560679839235862,0.4056173609349049,1.3139608614620724e-27,0.6888217522658611,0.6865357643758765,0.6770186335403727,0.678249544643784,0.6888217522658611,0.6888217522658611,0.6888217522658611,0.6875548192183997,0.6888217522658611,0.6847690726773982
183,True,embed_words_conceptnet,avg,cosine_similarity,Isotonic Regression,ASAP_sas,validation,42,,0,0,True,1720,2023-05-31 12:02:34,0.7719887533123992,0.3116575472859568,4.4457903552866325e-40,0.4015107495642068,0.3447047548291402,0.3190397588654914,0.2895849217359649,0.4015107495642068,0.4015107495642068,0.4015107495642068,0.4879830449891475,0.4015107495642068,0.3875064020761988
184,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,ASAP_sas,validation,42,,0,0,True,1720,2023-05-31 12:02:34,0.7688041332473892,0.2819807334209047,8.021758187327469e-33,0.3759442184776292,0.2904422554517443,0.2478837722014417,0.2105247120073982,0.3759442184776292,0.3759442184776292,0.3759442184776292,0.519809361475109,0.3759442184776292,0.3437680184629114
185,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,ASAP_sas,validation,42,,0,0,True,1720,2023-05-31 12:02:34,0.7683393708054221,0.2815170914878799,1.0254294912470094e-32,0.3753631609529343,0.2902327897711479,0.2476097995987019,0.2101288843995954,0.3753631609529343,0.3753631609529343,0.3753631609529343,0.5194023912457947,0.3753631609529343,0.3429676742498354
186,True,embed_words_conceptnet,avg,cosine_similarity,Isotonic Regression,biology,validation,42,,0,0,True,359,2023-05-31 12:02:34,0.3096508689654497,0.3795813981972338,8.787179609468297e-14,0.7111111111111111,0.2744970798182998,0.3076149425287356,0.2828981054787506,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.7383553248251495,0.7111111111111111,0.7194970700347044
187,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,biology,validation,42,,0,0,True,359,2023-05-31 12:02:34,0.2914915481559935,0.3145977492239056,1.0345454804434983e-09,0.7416666666666667,0.2092297762478485,0.2345186781609195,0.2204053139279065,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.6501768980684643,0.7416666666666667,0.6925048419548334
188,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,biology,validation,42,,0,0,True,359,2023-05-31 12:02:34,0.2907825585856994,0.3145977492239056,1.0345454804434983e-09,0.7444444444444445,0.2097097097097097,0.2353807471264367,0.2209523809523809,0.7444444444444445,0.7444444444444445,0.7444444444444445,0.6508341675008342,0.7444444444444445,0.694031746031746
189,True,embed_words_conceptnet,avg,cosine_similarity,Isotonic Regression,sciEntsBank,validation,42,,0,0,True,1080,2023-05-31 12:02:34,0.4511359733215154,0.4109275669895585,2.7127960688381202e-45,0.6882516188714154,0.6901240238860817,0.659563879523646,0.6599223126593399,0.6882516188714154,0.6882516188714154,0.6882516188714154,0.6894509371161037,0.6882516188714154,0.6749041572907261
190,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,sciEntsBank,validation,42,,0,0,True,1080,2023-05-31 12:02:34,0.452921146836994,0.4040584731493435,1.031645863238903e-43,0.6827012025901943,0.6784420289855072,0.6587963579524347,0.6602301707082621,0.6827012025901943,0.6827012025901943,0.6827012025901943,0.6802393784606309,0.6827012025901943,0.6735672939475383
191,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,sciEntsBank,validation,42,,0,0,True,1080,2023-05-31 12:02:34,0.4529489464907134,0.4040584731493435,1.031645863238903e-43,0.6845513413506013,0.6808054232145819,0.6604014943890317,0.661865540961381,0.6845513413506013,0.6845513413506013,0.6845513413506013,0.6823701738283622,0.6845513413506013,0.6752339590478859
192,True,embed_words_conceptnet,avg,cosine_similarity,Isotonic Regression,neural_networks,validation,42,,0,0,True,64,2023-05-31 12:02:34,0.7260859585697019,0.4425483505117324,0.000223142265382,0.3692307692307692,0.453125,0.375,0.2503192848020434,0.3692307692307692,0.3692307692307692,0.3692307692307692,0.2502403846153846,0.3692307692307692,0.2144414972001178
193,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,neural_networks,validation,42,,0,0,True,64,2023-05-31 12:02:34,0.7584527833431484,-0.5035947691015481,1.9013485813897563e-05,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
194,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,neural_networks,validation,42,,0,0,True,64,2023-05-31 12:02:34,0.7582624453594948,-0.5035947691015484,1.9013485813897248e-05,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
195,True,embed_words_conceptnet,avg,cosine_similarity,Isotonic Regression,english_language_arts,validation,42,,0,0,True,362,2023-05-31 12:02:34,0.5845700357755438,0.2825810293808708,4.317314657939157e-08,0.4573002754820937,0.3508823819382825,0.3788937745892154,0.3198261269356962,0.4573002754820937,0.4573002754820937,0.4573002754820937,0.4275056770821875,0.4573002754820937,0.3877108653336375
